"Name","Role"
"Federico Milano","TPC Chair"
"Gabriela Hug","TPC Vice-Chair"
"Petros Aristidou","Member"
"Kyri Baker","Member"
"Anastasios Bakirtzis","Member"
"Andrey Bernstein","Member"
"Saverio Bolognani","Member"
"Alberto Borghetti","Member"
"Duncan Callaway","Members"
"Florin Capitanescu","Member"
"Archie Chapman","Member"
"Spyros Chatzivasileiadis","Member"
"Diego Cirio","Member"
"Carleton Coffrin","Member"
"Bertrand Cornélusse","Member"
"Katherine Davis","Member"
"Colin Foote","Member"
"Madeleine Gibescu","Member"
"Yunhe Hou","Member"
"Efthymios Karangelos","Member"
"Jalal Kazempour","Member"
"Ivana Kockar","Member"
"Matti Lehtonen","Member"
"Sönke Loitz","Member"
"Jean Maeght","Member"
"Jean Mahseredjian","Member"
"Pierluigi Mancarella","Member"
"Anne-Katrin Marten","Member"
"Johanna Mathieu","Member"
"José Maria Maza Ortega","Member"
"Daniel Molzahn","Member"
"Taku Noda","Member"
"Lars Nordström","Member"
"Terence O'Donnell","Member"
"Luis Olmos Camacho","Member"
"Nicolas Omont","Member"
"Peter Palensky","Member"
"Patrick Panciatici","Member"
"Mario Paolone","Members"
"Ahda Pavani","Member"
"Jimmy Peng","Member"
"Robin Preece","Member"
"Claudia Andrea Rahmann","Member"
"Christian Rehtanz","Member"
"Line Roald","Member"
"Luis Rouco Rodríguez","Member"
"Antonio Carlos Siqueira de Lima","Member"
"Fabrizio Sossan","Member"
"Kai Strunz","Member"
"Fei Teng","Member"
"Georgios Tzounas","Member"
"Alfredo Vaccaro","Member"
"Zita Vale","Members"
"Pascal Van Hentenryck","Member"
"Luigi Vanfretti","Member"
"Mani V. Venkatasubramanian","Member"
"Gregor Verbic","Member"
"Yi Wang","Member"
