Name,Country,Role
Louis Wehenkel,Belgium,TPC Chair
Florin Capitanescu,Luxembourg,TPC Vice-Chair
Ahda  Pavani,Brazil,Member
Alberto  Borghetti,Italy,Member
Alejandro  Garces-Ruiz,Colombia,Member
Alfredo  Vaccaro,Italy,Member
Ali Hooshyar,Canada,Member
Alvaro Ortega,Spain,Member
Amin Kargarian,USA,Member
Anamika Dubey,USA,Member
Antonio Carlos  Siqueira de Lima,Brazil,Member
Bertrand  Cornélusse,Belgium,Member
Carleton  Coffrin,USA,Member
Claudia Andrea  Rahmann,Chile,Member
Constance Croisier,USA,Member
Daniel  Molzahn,USA,Member
David Pozo,Netherlands,Member
Dmitry Shchetinin,Switzerland,Member
Eduardo Martinez Cesena,UK,Member
Efthymios  Karangelos,Ireland,Member
Esther Romero Ramos,Spain,Member
Fabrizio  Sossan,Switzerland,Member
Federico  Milano,Ireland,Member
Fei  Teng,UK,Member
Ferdinanda Ponci,Germany,Member
Fernanda Trindade,Brazil,Member
François  Vallée,Belgium ,Member
Frederik Geth,Australia,Member
Georgios  Tzounas,Ireland,Member
Georgios Tsaousoglou,Denmark,Member
Giovanni De Carne,Germany,Member
Gregor  Verbic,Australia,Member
Gustavo Valverde,Switzerland,Member
Hrvoje Pandzic,Croatia,Member
Iason-Iraklis Avramidis,UK,Member
Jalal  Kazempour,Denmark,Member
Jochen  Cremer,Netherlands,Member
Jose Maria  Maza Ortega,Spain,Member
Juan Miguel Morales,Spain,Member
Kai  Strunz,Germany,Member
Lars  Nordström,Sweden,Member
Luis  Olmos Camacho,Spain,Member
Mani  Venkatasubramanian,USA,Member
Manuel Ruiz,France ,Member
Mario  Paolone,Switzerland,Member
Marjan  Popov,Netherlands,Member
Mostafa Nick,UK,Member
Nicolas  Omont,France,Member
Pascal  Van Hentenryck,USA,Member
Patrick  Panciatici,France,Member
Peter  Palensky,Netherlands,Member
Petros  Aristidou,Cyprus,Member
Phuong Nguyen,Netherlands,Member
Pierluigi  Mancarella,Australia,Member
Rahul Gupta,USA,Member
Robin  Preece,UK,Member
Saikat Chakrabarti,India,Member
Saverio Bolognani,Switzerland,Member
Siqi Bu,China,Member
Taku  Noda,Japan,Member
Tarek Alskaif,Netherlands,Member
Thibaut Prévost,France ,Member
Xin Fang,USA,Member
Yan Xu,Singapore,Member
Zhifang Yang,China,Member
Zita  Vale,Portugal,Member
,,

